"","assay","gene","target_antibiotics_major","id","day","height","length","mean","std","n","se"
"1","AY111","cphA_1","Beta Lactam","A",1,"bottom","quarter",0.00278134803827553,NA,1,NA
"2","AY142","ttgB","Other","A",1,"bottom","quarter",4.28602562175902e-05,NA,1,NA
"3","AY191","merA","Other","A",1,"bottom","quarter",0.00230870785756579,0.000723322652316846,2,0.000511466352439081
"4","AY198","crAss64","Other","A",1,"bottom","quarter",0.000628148582492558,0.000365009358542362,2,0.000258100592621856
"5","AY207","acrA_1","MDR","A",1,"bottom","quarter",3.91670500965242e-05,NA,1,NA
"6","AY218","qacE∆1_1","Other","A",1,"bottom","quarter",0.00115730505863719,0.000135821840501127,2,9.60405444515843e-05
"7","AY224","oprD","MDR","A",1,"bottom","quarter",5.29093855749101e-05,2.09492553559219e-05,2,1.4813360522981e-05
"8","AY236","qacE∆1_3","Other","A",1,"bottom","quarter",0.00137867922984934,0.000114741495456413,2,8.11344895207154e-05
"9","AY24","strB","Aminoglycoside","A",1,"bottom","quarter",0.00417208687791449,0.00048963798633718,2,0.000346226340465546
"10","AY241","sul4","Sulfonamide","A",1,"bottom","quarter",0.00447340126488208,0.000763648662182124,2,0.000539981147473015
"11","AY244","sul3_1","Sulfonamide","A",1,"bottom","quarter",0.00115595635437631,0.000291466597093249,2,0.000206098007294004
"12","AY245","sul1_2","Sulfonamide","A",1,"bottom","quarter",0.00154308650551921,1.51259888876576e-05,2,1.06956893146151e-05
"13","AY254","tetA_2","Tetracycline","A",1,"bottom","quarter",0.000495204448066019,1.45607471210027e-05,2,1.02960030284035e-05
"14","AY263","tetW","Tetracycline","A",1,"bottom","quarter",0.00935257010357072,0.00105208492631954,2,0.000743936385784696
"15","AY289","intI1_2","Integrons","A",1,"bottom","quarter",0.00328861889429742,0.000225481764855105,2,0.000159439684962955
"16","AY29","catB3","Phenicol","A",1,"bottom","quarter",5.05896747226185e-05,1.29957687007342e-05,2,9.18939617502104e-06
"17","AY293","intI1_1","Integrons","A",1,"bottom","quarter",0.00704646506611803,0.00272623722977382,2,0.0019277408322963
"18","AY300","tnpA_2","MGE","A",1,"bottom","quarter",0.0135560246699515,0.00019931887143706,2,0.000140939725611595
"19","AY309","ISPps","MGE","A",1,"bottom","quarter",0.0170210395801444,0.00166583426968217,2,0.0011779227084252
"20","AY328","aadA5_2","Aminoglycoside","A",1,"bottom","quarter",3.97956213828135e-05,1.09754434375637e-05,2,7.76081048123066e-06
"21","AY331","aadA2_3","Aminoglycoside","A",1,"bottom","quarter",0.0010651189162297,0.000217723672758015,2,0.000153953885432033
"22","AY353","tolC_2","MDR","A",1,"bottom","quarter",3.86278257437219e-05,NA,1,NA
"23","AY365","sul2_2","Sulfonamide","A",1,"bottom","quarter",0.00148153364734796,0.000195488283026946,2,0.000138231090570869
"24","AY37","cmxA","Phenicol","A",1,"bottom","quarter",0.00290140898758347,0.000841149754964667,2,0.000594782695728918
"25","AY389","aph6-ia","Aminoglycoside","A",1,"bottom","quarter",1.22233562864627e-05,NA,1,NA
"26","AY409","aadA16","Aminoglycoside","A",1,"bottom","quarter",0.000184482613168951,6.80166339114151e-05,2,4.80950230722445e-05
"27","AY410","aadA1_2","Aminoglycoside","A",1,"bottom","quarter",0.00147046854666631,0.000799875503283123,2,0.000565597392476499
"28","AY416","ant6-ib","Aminoglycoside","A",1,"bottom","quarter",0.00182940205165102,0.000312294906406828,2,0.000220825846050286
"29","AY457","qnrB4","Quinolone","A",1,"bottom","quarter",0.00059080169959078,0.000634447750534264,2,0.000448622306711329
"30","AY458","qnrB_2","Quinolone","A",1,"bottom","quarter",1.35834980518175e-06,8.33079660023007e-07,2,5.89076276870852e-07
"31","AY459","qnrD","Quinolone","A",1,"bottom","quarter",0.000923549586363144,0.000336279460483591,2,0.000237785486881701
"32","AY46","ermF_1","MLSB","A",1,"bottom","quarter",0.0500271180926596,0.0078143070145346,2,0.00552554948025102
"33","AY487","cefa_qacelta","MDR","A",1,"bottom","quarter",0.00138343953541219,0.000256184884765306,2,0.000181150069255042
"34","AY489","qacF/H","MDR","A",1,"bottom","quarter",0.00106874888113881,2.0951653727024e-05,2,1.48150564274511e-05
"35","AY492","copA","MDR","A",1,"bottom","quarter",0.000215074871798451,0.000160993471859367,2,0.000113839575678524
"36","AY493","czcA","MDR","A",1,"bottom","quarter",0.00117486837401374,0.000475777596741421,2,0.000336425564992497
"37","AY528","ereA","MLSB","A",1,"bottom","quarter",0.00101259604853771,0.000143445120933282,2,0.000101431017740048
"38","AY533","ermB_2","MLSB","A",1,"bottom","quarter",0.00580393591628801,0.000341164653140699,2,0.000241239839736944
"39","AY536","lnuB","MLSB","A",1,"bottom","quarter",0.00434269223099737,0.000382630120245378,2,0.000270560352711731
"40","AY537","lnuC","MLSB","A",1,"bottom","quarter",0.000512745448064695,0.000468853079485498,2,0.000331529191884391
"41","AY538","mefA","MLSB","A",1,"bottom","quarter",0.00323844286039869,0.000646429696737091,2,0.00045709482212316
"42","AY553","msrE","MLSB","A",1,"bottom","quarter",0.0269230359906279,0.00315969957344801,2,0.00223424499489733
"43","AY562","catQ","Phenicol","A",1,"bottom","quarter",0.000194239746203507,0.000168428104124299,2,0.000119096654568686
"44","AY566","floR","Phenicol","A",1,"bottom","quarter",4.22355570708001e-05,4.33952417925742e-06,2,3.06850697427591e-06
"45","AY572","tetG","Tetracycline","A",1,"bottom","quarter",0.00657496974754354,0.00115414763259761,2,0.000816105617500167
"46","AY574","tetM","Tetracycline","A",1,"bottom","quarter",0.00330887027453847,0.000129708646243084,2,9.17178633370117e-05
"47","AY601","blaOXA48","Beta Lactam","A",1,"bottom","quarter",1.74299516721611e-06,NA,1,NA
"48","AY293","intI1_1","Integrons","B",1,"middle","quarter",21.1001665804322,4.91411058879914,3,2.83716307127077
"49","AY353","tolC_2","MDR","B",1,"middle","quarter",0.0201415507323277,0.00883737163965433,3,0.00510225889508319
"50","AY466","mcr1","Other","B",1,"middle","quarter",0.0112374414233672,0.00388530471348651,2,0.00274732530988237
"51","AY493","czcA","MDR","B",1,"middle","quarter",2.13249158142408,0.760371961574059,3,0.439000956699027
"52","AY537","lnuC","MLSB","B",1,"middle","quarter",0.0126645796701823,0.0130702624076676,3,0.00754611951944594
"53","AY538","mefA","MLSB","B",1,"middle","quarter",0.0533862538082364,0.0711048044740846,2,0.0502786894185688
"54","AY571","tetD","Tetracycline","B",1,"middle","quarter",0.00309079442510218,0.00366109587626385,2,0.00258878572068028
"55","AY595","vanA","Vancomycin","B",1,"middle","quarter",0.00808253547719794,0.00918687981561143,2,0.00649610501556466
"56","AY111","cphA_1","Beta Lactam","C",1,"top","quarter",0.00221329036834599,0.000270522881490843,2,0.0001912885639683
"57","AY126","blaSFO","Beta Lactam","C",1,"top","quarter",4.65753133660471e-05,5.12302309820317e-05,2,3.62252437291478e-05
"58","AY142","ttgB","Other","C",1,"top","quarter",2.73742392400433e-06,3.24457437264915e-06,3,1.87325588745475e-06
"59","AY191","merA","Other","C",1,"top","quarter",0.00154702241982704,0.000888848107045535,3,0.000513176693871429
"60","AY198","crAss64","Other","C",1,"top","quarter",0.000530380542469975,9.93154140144896e-05,3,5.73397810159447e-05
"61","AY207","acrA_1","MDR","C",1,"top","quarter",4.16095758571042e-05,3.40773161913562e-05,3,1.96745476763395e-05
"62","AY218","qacE∆1_1","Other","C",1,"top","quarter",0.00124146602726215,0.000221728587372788,3,0.000128015059606715
"63","AY236","qacE∆1_3","Other","C",1,"top","quarter",0.00130691111386747,0.000154258620613931,3,8.90612561362737e-05
"64","AY24","strB","Aminoglycoside","C",1,"top","quarter",0.00475141291255849,0.000348531761648761,3,0.000201224906409046
"65","AY241","sul4","Sulfonamide","C",1,"top","quarter",0.00363443155095878,0.000568567646738184,3,0.000328262683896803
"66","AY244","sul3_1","Sulfonamide","C",1,"top","quarter",0.000901350144459422,8.43156485892534e-05,3,4.86796624099033e-05
"67","AY245","sul1_2","Sulfonamide","C",1,"top","quarter",0.00171717444872396,0.000219528730555015,3,0.000126744971680794
"68","AY254","tetA_2","Tetracycline","C",1,"top","quarter",0.00043035891980661,9.32633402844588e-05,3,5.3845614618756e-05
"69","AY263","tetW","Tetracycline","C",1,"top","quarter",0.00753925290734825,0.000476688808731304,3,0.000275216412040701
"70","AY289","intI1_2","Integrons","C",1,"top","quarter",0.00346800359768486,0.000201339093779934,3,0.00011624317999224
"71","AY29","catB3","Phenicol","C",1,"top","quarter",4.18825715666994e-05,8.96289431166527e-06,2,6.33772334683684e-06
"72","AY293","intI1_1","Integrons","C",1,"top","quarter",0.00686465415569433,0.00221275638518019,3,0.00127753549463484
"73","AY300","tnpA_2","MGE","C",1,"top","quarter",0.0145324537532476,0.000958522245509793,3,0.000553403076469323
"74","AY309","ISPps","MGE","C",1,"top","quarter",0.0195280529972137,0.00116189899427824,3,0.000670822697117698
"75","AY328","aadA5_2","Aminoglycoside","C",1,"top","quarter",7.96250219983272e-05,4.90987892578494e-05,3,2.83471991949041e-05
"76","AY331","aadA2_3","Aminoglycoside","C",1,"top","quarter",0.00104716611182789,0.000154351396982122,3,8.91148205974228e-05
"77","AY365","sul2_2","Sulfonamide","C",1,"top","quarter",0.0013381027219272,0.000231009618048324,3,0.000133373465165593
"78","AY37","cmxA","Phenicol","C",1,"top","quarter",0.00278444075035768,0.000277250100185692,3,0.00016007041997506
"79","AY381","vanTC_2","Vancomycin","C",1,"top","quarter",6.99196494654812e-06,5.79964035813898e-06,2,4.10096502568325e-06
"80","AY389","aph6-ia","Aminoglycoside","C",1,"top","quarter",4.30265857492941e-05,7.34501393909258e-06,2,5.19370916424208e-06
"81","AY409","aadA16","Aminoglycoside","C",1,"top","quarter",0.000526892779867195,0.000368994370830929,3,0.000213038999328694
"82","AY410","aadA1_2","Aminoglycoside","C",1,"top","quarter",0.0014978077926083,0.000244636069885638,3,0.000141240700801965
"83","AY416","ant6-ib","Aminoglycoside","C",1,"top","quarter",0.00159878706663645,7.91183164890074e-05,3,4.56789813227584e-05
"84","AY432","blaCTX-M","Beta Lactam","C",1,"top","quarter",8.90205391437185e-06,9.59645456578157e-06,2,6.78571809881275e-06
"85","AY457","qnrB4","Quinolone","C",1,"top","quarter",0.000411122133545423,0.000257028311969544,2,0.000181746462350596
"86","AY458","qnrB_2","Quinolone","C",1,"top","quarter",5.23455766224567e-05,1.36226061428979e-05,3,7.86501532366638e-06
"87","AY459","qnrD","Quinolone","C",1,"top","quarter",0.000352041964388348,0.000121597883462485,3,7.02045707499546e-05
"88","AY46","ermF_1","MLSB","C",1,"top","quarter",0.0296641276508581,0.00301786445685287,3,0.00174236485654181
"89","AY466","mcr1","Other","C",1,"top","quarter",2.36171206082363e-05,3.29293798682313e-05,2,2.32845878050942e-05
"90","AY487","cefa_qacelta","MDR","C",1,"top","quarter",0.00146673291596663,0.000211788533913026,3,0.000122276167065962
"91","AY489","qacF/H","MDR","C",1,"top","quarter",0.00124435127995288,9.81285657695607e-05,3,5.66545538622478e-05
"92","AY492","copA","MDR","C",1,"top","quarter",0.000109739369675689,8.16312885813002e-05,3,4.71298464367097e-05
"93","AY493","czcA","MDR","C",1,"top","quarter",0.00086745216497792,0.000370702341698989,2,0.000262126139617088
"94","AY528","ereA","MLSB","C",1,"top","quarter",0.000660838892419169,0.000141021645359009,3,8.14188849095878e-05
"95","AY533","ermB_2","MLSB","C",1,"top","quarter",0.00549553368203497,0.00101766114601931,2,0.000719595097300327
"96","AY536","lnuB","MLSB","C",1,"top","quarter",0.00592284211669399,0.000847680240847236,3,0.000489408415239878
"97","AY537","lnuC","MLSB","C",1,"top","quarter",0.0005422716330055,0.000240028674227014,3,0.000138580619678196
"98","AY538","mefA","MLSB","C",1,"top","quarter",0.00253959122797507,0.000390738185357171,3,0.000225592796498628
"99","AY553","msrE","MLSB","C",1,"top","quarter",0.0231980370358642,0.00195075641171232,3,0.0011262697394255
"100","AY562","catQ","Phenicol","C",1,"top","quarter",0.000166620571954678,2.60263703733569e-05,2,1.84034229806733e-05
"101","AY566","floR","Phenicol","C",1,"top","quarter",3.60983781858776e-05,4.47236100026457e-05,2,3.16243679120133e-05
"102","AY572","tetG","Tetracycline","C",1,"top","quarter",0.00596221607777897,0.000707755372730811,3,0.000408622754966538
"103","AY574","tetM","Tetracycline","C",1,"top","quarter",0.00286577811886264,0.000456869431623946,3,0.000263773689332596
"104","AY586","dfrA27","Trimethoprim","C",1,"top","quarter",2.0096976085231e-06,2.55265499515229e-06,2,1.8049996571019e-06
